Date,Ticker,Open,High,Low,Close,Volume,GDP (%),Inflation (%),Interest Rate (%),Unemployment (%),Market Stress Level,Event Flag
2020-01-01,AAPL,215.19,215.61,213.25,213.62,13046059,2.14,2.3,1.35,3.58,0.26,0
2020-01-02,AAPL,216.79,221.37,215.51,217.65,8515186,2.73,1.93,1.52,2.86,0.18,0
2020-01-03,AAPL,209.71,210.58,207.9,208.23,13704556,1.73,2.0,1.44,4.31,0.06,0
2020-01-04,AAPL,213.8,216.45,210.78,212.32,6833411,1.77,2.32,1.59,2.59,0.35,0
2020-01-05,AAPL,209.33,211.16,206.23,210.03,11862560,1.9,1.81,1.12,4.88,0.27,0
2020-01-06,AAPL,216.89,217.77,213.77,216.63,9848392,2.18,2.46,1.49,5.25,0.01,0
2020-01-07,AAPL,213.15,214.04,212.87,213.94,6024862,1.73,1.55,1.3,4.59,0.27,0
2020-01-08,AAPL,215.22,218.69,214.45,215.24,10629025,2.05,2.29,1.32,3.74,0.36,0
2020-01-09,AAPL,212.74,213.44,208.49,209.08,9158709,2.23,1.95,1.55,2.38,0.08,0
2020-01-10,AAPL,212.62,217.64,209.4,209.7,8014827,2.03,2.74,1.45,4.24,0.39,0
2020-01-11,AAPL,218.43,220.68,216.05,217.75,8181225,2.7,2.42,1.28,4.06,0.14,0
2020-01-12,AAPL,221.24,223.86,221.22,221.82,9268921,1.47,2.14,1.27,5.24,0.17,0
2020-01-13,AAPL,216.78,220.47,216.1,218.41,12614285,1.84,1.94,1.14,4.95,0.57,0
2020-01-14,AAPL,215.8,219.45,215.12,215.16,11694802,2.15,1.79,1.97,4.38,0.08,0
2020-01-15,AAPL,218.5,220.97,215.61,219.13,10825561,1.57,2.04,1.16,3.38,0.42,0
2020-01-16,AAPL,226.38,226.66,222.16,225.42,9930940,1.46,2.14,1.44,4.57,0.34,0
2020-01-17,AAPL,208.48,213.02,207.14,208.13,11712797,2.36,2.03,1.66,5.41,0.39,0
2020-01-18,AAPL,218.0,218.15,215.38,217.33,12132397,1.31,1.72,1.63,4.41,0.11,0
2020-01-19,AAPL,217.48,219.44,216.54,217.62,11517938,2.08,1.74,1.49,3.57,0.05,0
2020-01-20,AAPL,208.25,209.25,203.56,204.79,10257102,1.63,2.06,1.51,3.48,0.5,0
2020-01-21,AAPL,202.59,203.14,200.6,201.72,11704866,1.61,2.5,1.42,3.75,0.52,0
2020-01-22,AAPL,214.6,219.55,210.62,212.83,13687431,2.63,1.79,1.61,4.62,0.14,0
2020-01-23,AAPL,211.45,215.19,206.55,212.04,7139717,1.94,1.86,1.51,5.88,0.25,0
2020-01-24,AAPL,211.7,211.88,209.76,210.98,10252189,2.79,1.63,2.03,2.44,0.2,0
2020-01-25,AAPL,214.12,215.98,213.49,215.6,9013998,1.69,1.89,1.74,5.16,0.27,0
2020-01-26,AAPL,215.47,217.6,210.11,215.92,7558859,2.27,1.94,1.45,4.88,0.31,0
2020-01-27,AAPL,219.24,219.3,217.19,218.01,9379466,1.86,1.82,1.98,4.85,0.06,0
2020-01-28,AAPL,216.56,218.57,214.47,216.72,9982365,2.49,1.96,1.29,3.74,0.39,0
2020-01-29,AAPL,213.94,215.46,212.52,212.77,10464099,2.58,1.86,1.33,5.09,0.53,0
2020-01-30,AAPL,212.69,213.66,210.21,212.78,10985372,2.04,1.57,1.29,3.73,0.31,0
2020-01-31,AAPL,212.77,214.2,212.61,213.44,12902287,2.48,2.65,1.31,4.7,0.3,0
2020-02-01,AAPL,217.59,220.11,215.79,217.8,12065200,1.09,1.43,1.59,4.46,0.58,0
2020-02-02,AAPL,221.87,222.09,221.02,221.89,6573730,2.68,1.97,1.81,2.72,0.16,0
2020-02-03,AAPL,214.22,214.24,214.08,214.2,9373952,1.2,1.59,1.63,4.85,0.46,0
